comp_id,comp_name,year,month,date_from,date_to,country_code,city,comp_type,disciplines
5,Olympic Games Tokyo 2020,2021,7,2021-07-22T15:00:00Z,2021-08-07T15:00:00Z,JPN,Tokyo,Olympic Games,DV SW SY OW WP
262,Olympic Games Rio 2016,2016,8,2016-08-05T03:00:00Z,2016-08-21T03:00:00Z,BRA,Rio de Janeiro,Olympic Games,DV SW SY OW WP
468,Olympic Games London 2012,2012,7,2012-07-27T00:00:00Z,2012-08-12T00:00:00Z,GBR,London,Olympic Games,DV SW SY OW WP
657,Olympic Games Beijing 2008,2008,8,2008-08-08T16:00:00Z,2008-08-23T16:00:00Z,CHN,Beijing,Olympic Games,DV SW SY OW WP
792,Olympic Games Athens 2004,2004,8,2004-08-12T22:00:00Z,2004-08-28T22:00:00Z,GRE,Athens,Olympic Games,DV SW SY WP
888,Olympic Games Sydney 2000,2000,9,2000-09-14T14:00:00Z,2000-09-30T14:00:00Z,AUS,Sydney,Olympic Games,DV SW SY WP
989,Olympic Games Atlanta 1996,1996,7,1996-07-20T05:00:00Z,1996-08-02T05:00:00Z,USA,Atlanta,Olympic Games,DV SW SY WP
1046,Olympic Games Barcelona 1992,1992,7,1992-07-25T23:00:00Z,1992-08-08T23:00:00Z,ESP,Barcelona,Olympic Games,DV SW SY WP
1083,Olympic Games Seoul 1988,1988,9,1988-09-16T15:00:00Z,1988-10-01T15:00:00Z,KOR,Seoul,Olympic Games,DV SW SY WP
1089,Olympic Games Los Angeles 1984,1984,7,1984-07-28T08:00:00Z,1984-08-12T08:00:00Z,USA,Los Angeles,Olympic Games,DV SW SY WP
1093,Olympic Games Moscow 1980,1980,7,1980-07-18T21:00:00Z,1980-08-02T21:00:00Z,RUS,Moscow,Olympic Games,DV SW WP
1097,Olympic Games Montreal 1976,1976,7,1976-07-17T05:00:00Z,1976-08-01T05:00:00Z,CAN,Montreal,Olympic Games,DV SW WP
1100,Olympic Games Munich 1972,1972,8,1972-08-25T23:00:00Z,1972-09-10T23:00:00Z,FRG,Munich,Olympic Games,DV SW WP
1101,Olympic Games Mexico 1968,1968,10,1968-10-12T06:00:00Z,1968-10-27T06:00:00Z,MEX,Mexico City,Olympic Games,DV SW WP
1102,Olympic Games Tokyo 1964,1964,10,1964-10-09T15:00:00Z,1964-10-23T15:00:00Z,JPN,Tokyo,Olympic Games,DV SW WP
1103,Olympic Games Rome 1960,1960,8,1960-08-24T23:00:00Z,1960-09-10T23:00:00Z,ITA,Rome,Olympic Games,DV SW WP
1104,Olympic Games Melbourne 1956,1956,11,1956-11-21T14:00:00Z,1956-12-07T14:00:00Z,AUS,Melbourne,Olympic Games,DV SW WP
1105,Olympic Games Helsinki 1952,1952,7,1952-07-13T22:00:00Z,1952-08-02T22:00:00Z,FIN,Helsinki,Olympic Games,DV SW WP
1106,Olympic Games London 1948,1948,7,1948-07-29T00:00:00Z,1948-08-14T00:00:00Z,GBR,London,Olympic Games,DV SW WP
1107,Olympic Games Berlin 1936,1936,7,1936-07-31T23:00:00Z,1936-08-15T23:00:00Z,GER,Berlin,Olympic Games,DV SW WP
1108,Olympic Games Los Angeles 1932,1932,7,1932-07-30T08:00:00Z,1932-08-14T08:00:00Z,USA,Los Angeles,Olympic Games,DV SW WP
1109,Olympic Games Amsterdam 1928,1928,7,1928-07-27T23:00:00Z,1928-08-11T23:00:00Z,NED,Amsterdam,Olympic Games,DV SW WP
1110,Olympic Games Paris 1924,1924,7,1924-07-04T23:00:00Z,1924-07-26T23:00:00Z,FRA,Paris,Olympic Games,DV SW WP
1111,Olympic Games Antwerp 1920,1920,8,1920-08-13T23:00:00Z,1920-09-11T23:00:00Z,BEL,Antwerp,Olympic Games,DV SW WP
1112,Olympic Games Stockholm 1912,1912,5,1912-05-04T23:00:00Z,1912-07-21T23:00:00Z,SWE,Stockholm,Olympic Games,DV SW WP
1113,Olympic Games London 1908,1908,4,1908-04-27T00:00:00Z,1908-10-31T00:00:00Z,GBR,London,Olympic Games,DV SW WP
1114,Olympic Games St.Louis 1904,1904,7,1904-07-01T05:00:00Z,1904-11-23T05:00:00Z,USA,St.Louis,Olympic Games,DV SW WP
1115,Olympic Games Paris 1900,1900,5,1900-05-14T03:00:00Z,1900-10-28T03:00:00Z,FRA,Paris,Olympic Games,SW WP
1116,Olympic Games Athens 1896,1896,4,1896-04-06T03:00:00Z,1896-04-15T03:00:00Z,GRE,Athens,Olympic Games,SW WP
2943,Olympic Games Paris 2024,2024,7,2024-07-25T23:00:00Z,2024-08-10T23:00:00Z,FRA,Paris,Olympic Games,DV SW SY OW WP
1,World Aquatics Championships - Fukuoka 2023,2023,7,2023-07-13T15:00:00Z,2023-07-29T15:00:00Z,JPN,Fukuoka,World Championships,DV SW SY OW WP HD
95,18th FINA World Championships 2019,2019,7,2019-07-11T15:00:00Z,2019-07-27T15:00:00Z,KOR,Gwangju,World Championships,DV SW SY OW WP HD
213,17th FINA World Championships 2017,2017,7,2017-07-13T23:00:00Z,2017-07-29T23:00:00Z,HUN,Budapest,World Championships,DV SW SY OW WP HD
312,16th FINA World Championships 2015,2015,7,2015-07-23T21:00:00Z,2015-08-08T21:00:00Z,RUS,Kazan,World Championships,DV SW SY OW WP HD
416,15th FINA World Championships 2013,2013,7,2013-07-18T23:00:00Z,2013-08-03T23:00:00Z,ESP,Barcelona,World Championships,DV SW SY OW WP HD
517,14th FINA World Championships 2011,2011,7,2011-07-15T16:00:00Z,2011-07-30T16:00:00Z,CHN,Shanghai,World Championships,DV SW SY OW WP
618,13th FINA World Championships 2009,2009,7,2009-07-16T23:00:00Z,2009-08-01T23:00:00Z,ITA,Rome,World Championships,DV SW SY OW WP
734,12th FINA World Championships 2007,2007,3,2007-03-16T14:00:00Z,2007-03-31T14:00:00Z,AUS,Melbourne,World Championships,DV SW SY OW WP
771,11th FINA World Championships 2005,2005,7,2005-07-17T05:00:00Z,2005-07-31T05:00:00Z,CAN,Montreal,World Championships,DV SW SY OW WP
816,10th FINA World Championships 2003,2003,7,2003-07-12T23:00:00Z,2003-07-26T23:00:00Z,ESP,Barcelona,World Championships,DV SW SY OW WP
865,9th FINA World Championships 2001,2001,7,2001-07-15T15:00:00Z,2001-07-28T15:00:00Z,JPN,Fukuoka,World Championships,DV SW SY OW WP
967,8th FINA World Championships 1998,1998,1,1998-01-07T16:00:00Z,1998-01-17T16:00:00Z,AUS,Perth,World Championships,DV SW SY OW WP
1028,7th FINA World Championships 1994,1994,8,1994-08-31T23:00:00Z,1994-09-10T23:00:00Z,ITA,Rome,World Championships,DV SW SY OW WP
1064,6th FINA World Championships 1991,1991,1,1991-01-02T16:00:00Z,1991-01-12T16:00:00Z,AUS,Perth,World Championships,DV SW SY OW WP
1086,5th FINA World Championships 1986,1986,8,1986-08-12T23:00:00Z,1986-08-22T23:00:00Z,ESP,Madrid,World Championships,DV SW SY WP
1091,4th FINA World Championships 1982,1982,7,1982-07-29T05:00:00Z,1982-08-08T05:00:00Z,ECU,Guayaquil,World Championships,DV SW SY WP
1096,3rd FINA World Championships 1978,1978,8,1978-08-19T23:00:00Z,1978-08-27T23:00:00Z,FRG,West Berlin,World Championships,DV SW SY WP
1098,2nd FINA World Championships 1975,1975,7,1975-07-19T05:00:00Z,1975-07-27T05:00:00Z,COL,Cali,World Championships,DV SW SY WP
1099,1st FINA World Championships 1973,1973,8,1973-08-30T23:00:00Z,1973-09-08T23:00:00Z,YUG,Belgrade,World Championships,DV SW SY WP
2902,19th FINA World Championships Budapest 2022,2022,6,2022-06-17T23:00:00Z,2022-07-02T23:00:00Z,HUN,Budapest,World Championships,DV SW SY OW WP
2969,21st FINA World Championships Doha 2024,2024,2,2024-02-01T21:00:00Z,2024-02-17T21:00:00Z,QAT,Doha,World Championships,DV SW SY OW WP HD
2,15th FINA World Swimming Championships (25m) 2021,2021,12,2021-12-15T20:00:00Z,2021-12-20T20:00:00Z,UAE,Abu Dhabi,World Swimming Championships (25m),SW
132,14th FINA World Swimming Championships (25m) 2018,2018,12,2018-12-10T16:00:00Z,2018-12-15T16:00:00Z,CHN,Hangzhou,World Swimming Championships (25m),SW
239,13th FINA World Swimming Championships (25m) 2016,2016,12,2016-12-06T05:00:00Z,2016-12-11T05:00:00Z,CAN,Windsor,World Swimming Championships (25m),SW
341,12th FINA World Swimming Championships (25m) 2014,2014,12,2014-12-02T21:00:00Z,2014-12-06T21:00:00Z,QAT,Doha,World Swimming Championships (25m),SW
446,11th FINA World Swimming Championships (25m) 2012,2012,12,2012-12-11T21:00:00Z,2012-12-15T21:00:00Z,TUR,Istanbul,World Swimming Championships (25m),SW
544,10th FINA World Swimming Championships (25m) 2010,2010,12,2010-12-14T20:00:00Z,2010-12-18T20:00:00Z,UAE,Dubai,World Swimming Championships (25m),SW
682,9th FINA World Swimming Championships (25m) 2008,2008,4,2008-04-09T00:00:00Z,2008-04-13T00:00:00Z,GBR,Manchester,World Swimming Championships (25m),SW
754,8th FINA World Swimming Championships (25m) 2006,2006,4,2006-04-04T16:00:00Z,2006-04-08T16:00:00Z,CHN,Shanghai,World Swimming Championships (25m),SW
791,7th FINA World Swimming Championships (25m) 2004,2004,10,2004-10-07T05:00:00Z,2004-10-11T05:00:00Z,USA,Indianapolis,World Swimming Championships (25m),SW
848,6th FINA World Swimming Championships (25m) 2002,2002,4,2002-04-02T21:00:00Z,2002-04-06T21:00:00Z,RUS,Moscow,World Swimming Championships (25m),SW
900,5th FINA World Swimming Championships (25m) 2000,2000,3,2000-03-15T23:00:00Z,2000-03-18T23:00:00Z,GRE,Athens,World Swimming Championships (25m),SW
929,4th FINA World Swimming Championships (25m) 1999,1999,3,1999-03-31T16:00:00Z,1999-04-03T16:00:00Z,HKG,Hong Kong,World Swimming Championships (25m),SW
976,3rd FINA World Swimming Championships (25m) 1997,1997,4,1997-04-16T23:00:00Z,1997-04-19T23:00:00Z,SWE,Gothenburg,World Swimming Championships (25m),SW
1007,2nd FINA World Swimming Championships (25m) 1995,1995,11,1995-11-30T03:00:00Z,1995-12-03T03:00:00Z,BRA,Rio de Janeiro,World Swimming Championships (25m),SW
1036,1st FINA World Swimming Championships (25m) 1993,1993,12,1993-12-01T23:00:00Z,1993-12-04T23:00:00Z,ESP,Palma de Mallorca,World Swimming Championships (25m),SW
